procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 875400  30472 1418296    0    0  4568   969 5322 5148 17 19  3 60  0
 0  2      0 871036  30472 1422552    0    0  4000  1374 7567 6791 26 20  2 51  0
 1  3      0 866168  30472 1427160    0    0  4488   997 5587 5091 20 18  4 59  0
 2  3      0 861720  30472 1431804    0    0  4464  1042 5526 5348 17 15  1 67  1
 0  4      0 857640  30472 1435824    0    0  3804  1677 9180 7789 23 27  5 44  0
 1  3      0 852948  30472 1440272    0    0  4176  1396 7114 6558 23 23  3 51  0
 3  2      0 848072  30472 1444972    0    0  4484  1413 7125 6501 24 21  2 53  0
 1  3      0 843772  30472 1449524    0    0  4328  1322 7618 6570 24 23  3 49  0
 1  3      0 839188  30472 1454192    0    0  4448  1013 5734 5336 26 16  2 56  1
 1  3      0 833928  30472 1459360    0    0  5048   666 4356 4185 20 14  2 66  0
 2  2      0 829604  30472 1463628    0    0  4152  1221 7207 6367 21 20  4 54  1
 1  3      0 825564  30472 1467792    0    0  3932  1542 8140 7202 24 21  3 52  0
 2  2      0 821020  30472 1472164    0    0  4140  1273 7183 6340 25 21  3 51  0
 3  1      0 816484  30472 1476624    0    0  4252  1338 7042 6244 23 23  4 50  0
 3  1      0 812500  30472 1480564    0    0  3720  1681 8805 7535 26 29  4 40  0
 2  2      0 808152  30472 1484916    0    0  4096  1394 7278 6657 21 25  4 49  0
 3  2      0 803648  30472 1489292    0    0  4196  1249 6589 6193 22 19  3 56  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 799568  30472 1493472    0    0  3988  1382 7297 6571 23 22  3 52  0
 3  1      0 794844  30472 1498184    0    0  4584   913 5121 4755 16 18  2 64  1
 0  3      0 790496  30472 1502548    0    0  4172  1254 6508 6141 21 22  4 53  1
 4  1      0 786560  30472 1506452    0    0  3776  1525 7376 6888 24 22  3 51  0
 1  2      0 782132  30472 1510796    0    0  4076  1434 7104 6753 24 21  3 52  0
 0  4      0 777408  30472 1515496    0    0  4596   889 4787 4930 18 14  2 67  0
 1  3      0 773084  30472 1519828    0    0  4196  1110 6031 5771 16 21  2 62  0
 3  1      0 768800  30472 1524144    0    0  4184  1201 7110 6260 22 22  5 50  1
 1  3      0 764036  30472 1528684    0    0  4312  1278 6793 6382 24 18  2 55  0
 1  3      0 759996  30472 1532872    0    0  4024  1417 7454 6830 26 22  3 49  0
 0  4      0 755460  30472 1537528    0    0  4428  1022 5446 5089 21 13  2 65  0
 1  3      0 751428  30472 1541524    0    0  3856  1529 8118 7262 23 28  4 45  0
 0  3      0 747088  30472 1545700    0    0  3972  1506 8015 6913 21 20  3 55  1
 2  2      0 742804  30472 1549980    0    0  3964  1697 8801 7429 22 27  3 48  0
 2  2      0 739008  30472 1553884    0    0  3640  1678 8548 7401 22 23  4 51  0
 1  3      0 734220  30472 1558316    0    0  4212  1297 6985 6358 24 19  3 54  0
 1  2      0 729684  30472 1562544    0    0  4052  1430 7982 6914 26 23  3 47  0
 0  4      0 725936  30472 1566668    0    0  3796  1669 8631 7292 27 27  4 41  1
 2  2      0 721644  30472 1570984    0    0  4128  1222 7143 6277 22 23  2 53  0
 2  2      0 717060  30472 1575284    0    0  4036  1443 7509 6700 29 20  2 48  0
 0  4      0 713028  30472 1579376    0    0  3932  1326 7417 6356 28 20  5 47  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 709240  30472 1583320    0    0  3704  1541 8342 7134 26 24  4 46  0
 1  3      0 704988  30472 1587296    0    0  3756  1562 7842 6871 24 24 10 43  0
 3  1      0 700924  30472 1591672    0    0  4192  1097 5729 5350 19 17  4 60  0
 1  2      0 696136  30472 1595940    0    0  4156  1010 5655 5277 19 17  1 63  1
 1  3      0 692104  30472 1600088    0    0  3976  1489 7680 6999 27 20  3 49  0
 1  3      0 697136  30472 1604084    0    0  3816  1434 7520 6862 26 21  4 48  0
 1  3      0 692372  30472 1608564    0    0  4256  1125 6621 5971 23 22  3 53  0
 1  3      0 688040  30472 1612832    0    0  4092  1258 6668 6233 20 24  8 47  1
 3  1      0 683440  30472 1617496    0    0  4508   901 5032 4956 17 18  2 64  0
 1  4      0 678968  30472 1621952    0    0  4248  1146 5348 5409 18 15  2 66  0
 2  2      0 674432  30472 1626120    0    0  4108  1241 7131 6274 20 24 10 45  0
 0  3      0 669992  30472 1630408    0    0  4156  1182 6615 6113 19 20  2 58  1
 2  2      0 665628  30480 1634472    0    0  3812  1541 8767 7498 32 22  4 42  0
 1  3      0 661596  30480 1638788    0    0  4056  1290 6953 6242 23 22  2 54  0
 1  3      0 657532  30480 1642584    0    0  3608  1621 8793 7389 30 28  3 39  0
 3  2      0 653500  30480 1647084    0    0  4232  1178 6041 5543 17 14  4 65  0
 1  3      0 649248  30480 1651060    0    0  3832  1337 7874 6869 20 21  1 58  0
 1  2      0 650928  30480 1653368    0    0  2084 11188 4703 3850 27 16  2 55  1
 0  3      0 649476  30480 1657104    0    0  3668  6516 5424 4417 28 16  1 56  0
 0  4      0 646672  30480 1661472    0    0  4232  1150 7089 6086 22 24 13 41  0
 2  2      0 642420  30480 1665744    0    0  4024  1318 7324 6554 24 23  2 51  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 637972  30480 1669756    0    0  3756  1577 8279 7231 26 27  4 44  0
 4  0      0 633592  30480 1673704    0    0  3760  1614 7496 7035 22 27  5 43  3
 0  4      0 629552  30480 1677448    0    0  3488  1769 8416 7448 27 30  4 39  0
 0  3      0 625676  30480 1681340    0    0  3696  1694 8765 7543 31 26  4 38  1
 1  3      0 621804  30480 1685372    0    0  3780  1493 7544 6976 23 21  3 53  0
 0  4      0 617748  30480 1689140    0    0  3560  1546 7643 6853 24 21  3 52  0
 3  2      0 613928  30480 1693048    0    0  3600  1581 8298 7104 27 27  3 43  1
 1  3      0 609904  30480 1697088    0    0  3892  1314 7021 6118 25 21  2 52  0
 3  0      0 605572  30480 1701340    0    0  4028  1176 6059 5504 22 18  3 57  0
 0  4      0 601320  30480 1705296    0    0  3780  1354 7309 6731 25 22  6 48  0
 2  2      0 597004  30480 1709308    0    0  3804  1441 6979 6550 28 19  4 49  1
