procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2      0 130012  25732 3438540    0    0    30    72    3    1  1  1 98  0  0
 2  2      0 118924  25684 3421020    0    0  5496  4106 7907 7911 30 27 10 32  1
 3  1      0 115368  25632 3404980    0    0  5984  3332 6573 5887 20 25 16 39  0
 2  2      0 109280  25580 3387928    0    0  4956  3876 7395 6890 22 26  4 48  0
 3  1      0 121132  25476 3349512    0    0  5572  3593 5998 6082 20 23  9 47  0
 4  0      0 112676  25484 3354604    0    0  4816  4431 8513 8283 26 29 15 29  1
 4  0      0 105360  25432 3336860    0    0  5676  3565 7048 6632 28 28  4 40  1
 4  0      0 124012  25328 3295116    0    0  5184  4060 8607 8150 30 29  9 32  0
 1  2      0 124536  25272 3276644    0    0  4568  4344 8160 8134 30 27 11 32  0
 1  2      0 114644  25216 3259840    0    0  6236  3142 5050 5253 22 18  6 54  1
 1  2      0 111636  25160 3242244    0    0  5116  4054 8358 7933 28 28 10 33  0
 3  1      0 112604  25108 3225284    0    0  5732  3164 6344 6155 25 25  7 43  1
 2  3      0 111580  25068 3208500    0    0  5808  3749 6663 6501 23 24 10 42  1
 3  2      0 108076  25028 3191440    0    0  5368  3665 6706 6671 23 25  4 49  0
 2  3      0 121180  24948 3152576    0    0  5972  3258 5734 5696 24 20 11 45  0
 0  3      0 121636  24908 3135560    0    0  4976  3559 6263 6382 22 21  9 48  0
 0  4      0 119904  24868 3119572    0    0  5996  2957 4632 4984 22 16  7 54  1
 3  2      0 116840  24840 3103920    0    0  6196  4250 5548 5322 23 20 11 46  1
 1  2      0 114604  24820 3087696    0    0  5440  3882 7423 7068 24 26 15 35  0
 1  3      0 103736  24796 3072396    0    0  6300  3261 5445 5402 25 18  6 52  1
 0  3      0 122620  24752 3034992    0    0  5360  3644 7958 7509 25 31  9 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 121012  24744 3019124    0    0  5412  3650 6954 6727 24 25  5 47  0
 1  1      0 121100  24736 3003508    0    0  5300  3857 7394 7196 27 26 10 37  1
 2  2      0 119808  24732 2988240    0    0  5696  3558 6338 6257 26 22  6 47  0
 2  2      0 116588  24724 2973216    0    0  5764  3213 5793 5639 22 21 10 47  0
 1  3      0 110508  24716 2958340    0    0  5796  3659 6523 6483 25 22  7 45  1
 3  0      0 105972  24708 2943588    0    0  5928  3443 6110 6202 25 19  7 48  0
 3  1      0 105500  24700 2928120    0    0  4840  4166 8552 8078 28 31 10 29  2
 2  1      0 121076  24680 2892396    0    0  5076  3936 8116 7437 28 29  8 35  0
 3  0      0 107500  24680 2897216    0    0  4692  3692 7162 7169 24 24  5 47  1
 2  3      0 117296  24672 2882648    0    0  5596  3387 5984 5891 23 21 15 42  0
 4  1      0 108980  24672 2887960    0    0  5092  3752 7484 6915 26 25 14 35  0
 4  1      0 122344  24648 2873260    0    0  5304  3932 7511 6869 28 24 16 30  2
 0  3      0 116768  24648 2878536    0    0  5024  3387 6559 6385 26 22 12 40  0
 0  4      0 110744  24648 2884116    0    0  5400  3764 6109 6158 20 19  2 60  0
 1  2      0 104688  24648 2889520    0    0  5200  3890 7610 7292 24 25  8 43  0
 1  2      0 118800  24624 2874524    0    0  4912  3864 7400 7424 29 23  7 41  0
 0  4      0 112500  24624 2880112    0    0  5500  3573 6434 6500 27 21  6 45  2
 1  4      0 107712  24624 2885620    0    0  5208  3810 7664 7281 27 27 12 34  0
 1  4      0 122328  24600 2869604    0    0  3952  3768 6625 6516 28 20 11 41  0
 1  1      0 118580  24600 2873780    0    0  3984  3361 6815 6109 54 16  3 27  1
 1  2      0 114256  24600 2877468    0    0  3484  3802 6683 6704 25 22  6 48  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 109964  24600 2881080    0    0  3408  3812 7940 7650 25 27 11 37  0
 1  3      0 105676  24600 2884848    0    0  3592  3571 6471 6054 23 15 13 48  1
 3  0      0 122312  24584 2868700    0    0  3732  3485 6560 6352 21 22  9 47  1
 2  2      0 119792  24584 2872380    0    0  3476  3628 6700 6601 25 23  6 46  1
 0  2      0 115256  24584 2875756    0    0  3184  3750 7436 6872 28 24  9 38  0
 0  3      0 111476  24584 2878636    0    0  2728  4168 8415 8359 29 28  9 33  1
 0  5      0 107224  24584 2882616    0    0  3728  3594 6111 6157 28 21  5 44  2
 4  1      0 120856  24576 2868880    0    0  6084  3745 7559 7092 27 25 10 38  0
 3  2      0 114744  24576 2875572    0    0  6452  3356 5975 5951 23 22  1 55  0
 2  1      0 108664  24576 2881232    0    0  5572  3559 7019 7197 23 19  5 54  0
 3  1      0 122304  24564 2867368    0    0  5740  3965 8032 7707 26 27  9 37  0
 2  2      0 116500  24564 2873396    0    0  5840  3653 7505 7163 25 26  9 40  0
 2  2      0 109980  24564 2878800    0    0  5136  4278 8335 8055 29 27  9 35  1
 3  1      0 122044  24556 2865156    0    0  5964  3488 7705 7194 27 26  8 38  0
 1  2      0 115744  24556 2871388    0    0  6020  3858 7821 7406 27 28 10 34  0
 2  2      0 110736  24556 2877436    0    0  5888  3593 5952 6047 22 19  8 50  0
 1  2      0 104404  24556 2883772    0    0  6172  3553 6347 6421 24 21  4 51  0
 0  4      0 117760  24548 2870100    0    0  5916  3739 7424 7272 26 26  4 43  1
 3  0      0 110988  24548 2874860    0    0  4476  3690 8554 7840 29 29  6 35  1
 3  1      0 107452  24548 2877992    0    0  2988  4072 7792 7804 29 26  7 39  0
 1  3      0 103892  24548 2881224    0    0  2920  4051 8252 7640 27 26 10 37  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 119776  24540 2864784    0    0  3128  3842 6884 6805 25 25  7 44  0
 2  2      0 116776  24540 2868728    0    0  3784  3392 5445 5532 27 19  3 51  1
 3  0      0 113500  24540 2872308    0    0  3436  3488 6945 7001 23 26  4 48  0
 1  2      0 109216  24540 2875888    0    0  3344  3765 6918 6872 26 23  9 42  0
 2  2      0 104144  24540 2881300    0    0  5196  3800 7826 7566 30 25  8 38  0
 1  2      0 118004  24532 2866988    0    0  5164  3774 6873 6908 26 26  6 43  0
 0  4      0 112720  24532 2872132    0    0  4964  3935 7295 7250 28 19 12 40  1
 0  4      0 106488  24532 2877540    0    0  5120  3576 7032 7008 22 26 13 39  0
 1  3      0 120712  24524 2863728    0    0  5768  3490 6554 6354 26 23 10 41  0
 2  2      0 115348  24524 2868416    0    0  4376  4385 8629 8426 30 32  8 31  0
 1  3      0 111080  24524 2873660    0    0  5012  3951 7702 7308 26 26 10 39  0
 4  0      0 105024  24524 2878280    0    0  4444  3710 6985 7038 27 24  4 43  2
 2  2      0 120356  24516 2861952    0    0  2936  3785 7371 7546 27 25  5 42  0
 5  1      0 116536  24516 2865668    0    0  3584  3475 6228 6384 24 21  3 52  0
 1  4      0 113568  24516 2868744    0    0  2892  4178 8070 8092 29 28  8 35  0
 1  1      0 109992  24516 2872304    0    0  3280  3570 6922 6558 24 26  5 42  2
