procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 1838696   9112 1168048    0    0  4084  1541 7642 6957 23 17  3 56  1
 1  3      0 1833380   9112 1173100    0    0  4736  1134 6009 5756 21 17  2 60  0
 2  2      0 1828104   9112 1177876    0    0  4612  1057 6692 6038 26 14  1 59  0
 2  2      0 1823552   9112 1182444    0    0  4404  1206 6479 5784 21 18  3 58  0
 0  4      0 1818756   9112 1187052    0    0  4456  1213 6209 5860 17 19  2 63  0
 1  3      0 1813920   9112 1191548    0    0  4316  1238 6180 6061 18 19  4 59  0
 0  3      0 1808896   9112 1196176    0    0  4420  1125 6649 5986 22 20  4 53  1
 0  3      0 1804100   9112 1200520    0    0  4212  1371 7859 6901 21 19  3 57  0
 2  3      0 1799400   9112 1205104    0    0  4276  1608 7903 6310 45 17  1 37  0
 2  2      0 1794760   9120 1209672    0    0  4396  1141 7063 5783 35 17  3 45  0
 2  2      0 1789996   9120 1214032    0    0  4336  1082 5687 5441 18 17  2 63  0
 0  4      0 1785176   9120 1218852    0    0  4588   865 5237 4960 19 15  1 66  0
 1  3      0 1780632   9120 1223212    0    0  4228  1226 6603 6102 20 19  3 57  1
 1  3      0 1775796   9120 1227608    0    0  4176  1381 7111 6534 23 23  4 50  1
 0  4      0 1771252   9120 1232012    0    0  4148  1510 7411 6811 24 23  3 51  0
 0  4      0 1766204   9120 1236716    0    0  4584   957 5380 5200 17 15  3 65  0
 2  2      0 1761692   9120 1241248    0    0  4336  1246 6983 6116 24 19  2 55  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3      0 1756360   9120 1246208    0    0  4904   677 4074 4145 15 12  1 73  0
 0  4      0 1751312   9120 1251012    0    0  4608   982 5938 5413 19 14  2 65  0
 6  0      0 1746556   9120 1255716    0    0  4604   845 5351 4800 15 11  1 74  0
 2  2      0 1742076   9120 1259792    0    0  3864  1618 8445 7455 26 24  4 46  0
 1  3      0 1737184   9120 1264176    0    0  4128  1345 6936 6575 26 20  2 52  0
 0  4      0 1732160   9120 1268916    0    0  4488  1262 6600 6107 22 20  3 55  1
 2  2      0 1727876   9120 1273164    0    0  4144  1233 6352 6069 18 19  3 59  0
 2  2      0 1723300   9120 1277456    0    0  4112  1266 6174 5723 21 19  2 58  0
 0  4      0 1718788   9120 1281724    0    0  4088  1385 7444 6676 24 22  2 52  0
 0  2      0 1714236   9120 1286068    0    0  4160  1326 7265 6332 23 19 12 45  1
 1  3      0 1709604   9120 1290104    0    0  3944  1397 6753 6420 25 20  3 52  0
 1  2      0 1704864   9120 1294120    0    0  3664  1826 9236 7770 32 25  4 39  0
 4  0      0 1700604   9120 1298504    0    0  4160  1329 6497 6108 21 21  2 56  0
 0  4      0 1696060   9120 1302436    0    0  3720  1748 8267 7539 24 29  6 41  0
 2  2      0 1691680   9120 1306772    0    0  4192  1105 6184 5669 20 14  3 63  0
 4  0      0 1686720   9120 1311092    0    0  4080  1414 7625 6509 26 25  2 47  0
 1  1      0 1682648   9120 1315248    0    0  3940  1353 7210 6290 23 18  3 56  0
 1  3      0 1678112   9120 1319512    0    0  4088  1266 6358 6041 18 20  4 57  1
 1  3      0 1673348   9120 1323908    0    0  4260  1393 7030 6345 23 21  4 53  0
 4  0      0 1668804   9120 1327956    0    0  3792  1470 7417 6714 20 24  3 52  0
 1  3      0 1664740   9120 1332112    0    0  3996  1357 7012 6412 24 15  4 56  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 1659976   9120 1336260    0    0  3932  1330 6716 6297 20 21  3 56  0
 3  1      0 1655904   9120 1340660    0    0  4248  1061 6236 5660 19 20  2 60  0
 0  4      0 1651116   9120 1344952    0    0  4132  1214 5635 5571 15 18  2 65  0
 1  2      0 1646572   9120 1349036    0    0  3936  1381 7157 6475 19 20  3 57  1
 1  2      0 1642816   9120 1352944    0    0  3632  1714 8874 7718 24 18  5 53  0
 3  1      0 1638248   9120 1356952    0    0  3796  1493 7521 6761 21 24  3 52  0
 0  4      0 1633996   9120 1360964    0    0  3812  1374 6606 6192 20 20  5 55  0
 1  3      0 1629200   9120 1365280    0    0  4120  1201 7084 6301 22 20  5 53  0
 1  3      0 1625192   9120 1369220    0    0  3740  1554 7844 7020 20 23  5 52  1
 1  2      0 1621192   9120 1373136    0    0  3684  1517 6958 6541 22 20  3 55  0
 0  3      0 1616656   9120 1377560    0    0  4332   866 5119 5004 15 15  2 68  0
 0  3      0 1612088   9120 1381816    0    0  4040  1261 6585 5963 19 19  2 61  0
 2  2      0 1607772   9120 1385784    0    0  3860  1238 6515 6012 23 20  2 55  0
 1  3      0 1603740   9120 1389792    0    0  3856  1453 7470 6802 20 24  3 53  1
 4  0      0 1599172   9120 1394048    0    0  4064  1122 6464 5866 20 22  3 55  0
