procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3      0 115004  17560 2874832    0    0  7108  9710 7332 5561 43 20  1 36  0
 1  4      0 104104  17560 2883276    0    0  8356  7409 3174 2385 31 11  0 59  0
 1  4      0 112976  17540 2875620    0    0  8568  7560 2320 1853 30 10  0 57  3
 5  0      0 310888  17540 2675972    0    0  8248  7675 2683 2154 27 12  0 62  0
 1  5      0 300368  17540 2685096    0    0  9012  8005 4424 3199 26 17  1 57  0
 4  2      0 290532  17540 2693420    0    0  8340  6681 1926 1717 23  5  0 72  0
 3  2      0 286452  17540 2701712    0    0  8124  7993 4213 3035 32 14  0 54  0
 2  3      0 281232  17540 2709084    0    0  7280  7392 5859 4379 37 18  4 39  3
 1  4      0 271016  17540 2717996    0    0  8672  9500 6226 5078 38 19  1 43  0
 2  4      0 263968  17540 2726268    0    0  8280  7719 3860 2793 29 10  1 60  0
 2  4      0 255864  17540 2734288    0    0  7768  7353 5584 4075 32 19  0 49  0
 0  5      0 246776  17540 2742840    0    0  8408  8158 5536 4433 32 17  0 51  0
 1  5      0 239136  17540 2749760    0    0  6672  9018 8078 6249 41 24  2 34  0
 1  5      0 229804  17540 2758136    0    0  8252  8208 5057 4111 31 22  1 42  4
 1  4      0 220416  17540 2766376    0    0  7976  7327 6108 4714 33 20  0 46  0
 2  3      0 209344  17540 2774868    0    0  8424  7766 6703 5375 34 25  0 40  1
 5  0      0 201264  17540 2782484    0    0  7420  8135 4993 3733 30 18  1 52  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 194868  17540 2790312    0    0  7728  8527 6569 5321 37 19  2 42  0
 2  3      0 185844  17540 2798220    0    0  7728  7977 4464 3825 32 14  1 52  0
 0  5      0 174992  17540 2806424    0    0  8136  9292 4485 3960 38 14  2 44  3
 4  1      0 166652  17540 2813752    0    0  7120  7506 6851 4580 34 23  1 42  0
 2  3      0 159572  17540 2820060    0    0  6216  9760 7123 6170 38 23  2 37  0
 0  5      0 152248  17540 2827920    0    0  7692  9122 4388 3991 35 13  0 53  0
 3  2      0 142332  17540 2835536    0    0  7536  7565 6512 4878 34 22  1 43  0
 1  4      0 139120  17540 2840624    0    0  4900 12242 4461 3990 41 16  1 42  2
 1  5      0 137608  17540 2842112    0    0  1484 14470 1149  948 38  4  0 58  0
 1  3      0 132688  17540 2846816    0    0  4720 11719 2432 1867 33 10  0 57  0
 2  2      0 131440  17540 2847640    0    0   728 14991 2633 1763 43  8  1 48  0
 2  3      0 130024  17540 2847856    0    0   124 15476 1119  769 42  5  6 47  1
 6  0      0 128748  17540 2850600    0    0  2612 12062 7371 6147 50 23  6 15  5
 3  1      0 126968  17540 2852512    0    0  1740 15183 3948 3590 49 10  4 37  0
 1  4      0 125944  17540 2853704    0    0  1124 14925 2429 1818 40  9  3 48  0
 1  4      0 119628  17540 2860116    0    0  6216  9455 5968 4831 37 19  0 44  0
 5  0      0 111304  17540 2867832    0    0  7688  8040 4852 3997 35 15  0 50  0
 1  2      0 104232  17540 2874980    0    0  6940  8612 6265 5493 39 22  1 36  4
 2  2      0 114496  17524 2866128    0    0  6824  8621 5768 5514 34 19  2 45  0
 2  3      0 108464  17524 2872840    0    0  6452  9616 6693 5999 40 20  2 38  0
 2  3      0 131916  17484 2850152    0    0  8952  8408 5579 5265 34 15  1 51  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 122016  17484 2858572    0    0  8320  7298 5674 4322 30 21  4 45  0
 3  2      0 110952  17484 2865988    0    0  7240  8954 7317 6255 38 24  2 36  0
 3  1      0 105620  17484 2873216    0    0  7144  8464 6060 5206 39 20  1 35  5
 1  3      0 127560  17444 2851328    0    0  8364  9424 5865 4919 37 21  0 41  1
