procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  5      0 231344  32932 1431876    0    0 10224  2596 5549 8809  7 13  2 77  0
 1  4      0 220972  32932 1432428    0    0  9008  2896 6077 9762 11 15  9 65  0
 0  3      0 216492  32932 1432708    0    0  8144  6490 5400 8108 11 10  8 71  0
 0  3      0 205688  32932 1433376    0    0  9712  3197 6718 10780 14 18  7 60  1
 1  3      0 195324  32932 1434024    0    0  8848  3038 7057 10305 16 15  4 64  1
 0  4      0 184424  32940 1434356    0    0 10048  2567 6233 9157 12 14  5 69  0
 0  5      0 174440  32940 1434888    0    0  9008  3241 6289 9845 12 15  3 70  0
 0  1      0 163288  32940 1435584    0    0  9056  2868 6421 10026 15 17  6 62  0
 2  4      0 153492  32940 1436160    0    0  8896  2740 6209 9734 14 17  6 62  2
 1  6      0 143916  32940 1436628    0    0  8672  6543 6470 9307 11 15  7 66  0
 3  0      0 133576  32940 1437244    0    0  8928  2760 6787 9974 15 16  4 65  0
 2  2      0 123780  32948 1437912    0    0  8432  3184 7024 10732 13 18  9 60  0
 1  3      0 113952  32948 1438560    0    0  8400  7157 6325 9505 13 11  8 66  1
 2  3      0 103548  32948 1439068    0    0  8880  2912 6571 9998 14 16  4 64  2
 1  4      0 122004  31908 1407808    0    0  9632  2695 5399 9071 13 14  3 71  0
 4  7      0 111672  31908 1408100    0    0 10096  2554 4881 8378  9 14  4 73  1
 2  2      0 117988  29884 1394156    0    0  8880  2919 6590 10082 14 16  7 63  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 111020  29892 1394788    0    0  8480  3149 7216 10771 17 17  7 58  0
 1  4      0 112248  28348 1385452    0    0  8544  3205 7301 10432 13 18  6 62  1
 1  3      0 104208  28348 1385808    0    0  9232  2669 5812 9595 12 13  5 70  0
 1  8      0 105280  26660 1376204    0    0  9152  3053 6657 10125 11 17  4 68  0
 1  4      0 105816  25220 1366072    0    0 10608  2247 4825 8037  9 12  2 77  0
 0  3      0 105580  24200 1356116    0    0  9792  2660 6020 9580  7  6  3 84  0
 3  2      0 106116  23744 1347032    0    0  8592  3235 6791 10556 15 13 10 63  0
 1  6      0 105408  23308 1338020    0    0  9952  2496 5677 8631 10 12  4 73  1
 3  3      0 105912  23012 1329364    0    0  8788  6927 6062 8789 12 13 13 62  0
 2  3      0 105164  22724 1320832    0    0  9152  2908 6383 9682 11 17  2 70  0
 1  6      0 104172  22436 1312068    0    0  9856  2653 5777 9128 11 13  4 73  0
