procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 2410020  44024 1182680    0    0    49   173   14    6  1  1 97  1  0
 3  0      0 2377656  44024 1196732    0    0 13928   365 3192 2707 13 12 19 55  1
 0  4      0 2347412  44024 1204956    0    0  7848   904 5641 4985 19 15 10 56  0
 0  4      0 2324548  44024 1210800    0    0  5512  1117 6350 5806 21 18  3 58  0
 0  4      0 2317176  44024 1216216    0    0  5080  1146 5992 5707 16 20  2 61  0
 1  3      0 2294352  44032 1221456    0    0  4932  1077 4917 4766 16 15  1 68  0
 1  3      0 2271552  44032 1226964    0    0  5236   762 4796 4445 11 15  2 71  1
 2  2      0 2248468  44032 1232176    0    0  5012   805 5640 5021 13 12  1 73  1
 1  3      0 2225156  44032 1237436    0    0  5188   650 4148 4201 12 10  1 78  0
 1  3      0 2202892  44032 1242808    0    0  5004  1525 6111 5625 18 17  3 62  0
 1  3      0 2179612  44032 1248312    0    0  5228   806 4275 4297 13 11  2 73  0
 1  3      0 2155528  44032 1253648    0    0  5160   661 4497 4254 14 12  1 73  0
 0  3      0 2133492  44032 1258704    0    0  4836   958 5772 5422 18 15  2 65  0
 0  3      0 2110960  44032 1264044    0    0  5032  1057 5866 5513 18 18  2 62  0
 1  3      0 2089900  44032 1269148    0    0  4844  1114 6665 5930 16 17  2 64  1
 0  4      0 2070652  44040 1273908    0    0  4460  1501 7287 6465 22 12  2 64  0
 1  3      0 2049152  44040 1278892    0    0  4720  1062 5454 5181 16 18  1 65  0
 1  3      0 2026880  44040 1283956    0    0  4944   881 5407 5082 15 15  4 66  1
 1  2      0 2006356  44040 1288844    0    0  4636  1246 6493 5919 19 17  2 62  0
 2  2      0 1982824  44040 1294644    0    0  5492   697 4212 4187 13 10  1 77  0
 2  2      0 1959088  44040 1299788    0    0  5044   698 4276 4363 14 11  1 74  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 1937800  44040 1304956    0    0  4968  1113 6902 6033 20 20  2 58  0
 0  4      0 1916332  44040 1310120    0    0  4872  1074 5658 5369 16 16  5 62  1
 2  2      0 1892832  44040 1315256    0    0  5012   657 3935 3983 11 13  1 75  0
 0  3      0 1872104  44040 1319980    0    0  4680  1002 5543 5297 17 16  3 64  0
 2  2      0 1849864  44040 1325248    0    0  4984   909 5509 5066 15 15 10 60  0
 2  2      0 1827380  44040 1330492    0    0  5044   802 4886 4673 16 14  2 67  0
 0  4      0 1806904  44040 1335460    0    0  4800  1081 5822 5680 17 19  3 61  1
 0  4      0 1785712  44040 1340532    0    0  4880   950 4951 5012 13 13  2 72  0
 2  2      0 1766236  44040 1345124    0    0  4596  1101 6112 5822 19 18  3 60  0
 3  1      0 1748028  44040 1349940    0    0  4420  2030 7090 6432 21 20  3 56  0
 2  2      0 1727796  44040 1355024    0    0  4836  1189 6462 5937 17 20  2 60  1
 2  2      0 1707612  44040 1359912    0    0  4628  1138 6001 5687 18 17  2 63  0
 1  3      0 1687128  44040 1364604    0    0  4560  1090 6040 5554 15 18  2 66  0
 1  3      0 1666708  44040 1369728    0    0  4932   873 5107 5118 14 15  2 69  0
 0  3      0 1647736  44040 1374664    0    0  4772  1086 6423 5808 19 19  2 60  0
 0  4      0 1628804  44040 1380212    0    0  5396   705 5260 4739 15 12  1 72  1
 0  2      0 1613132  44040 1384792    0    0  4412  1174 6927 6198 18 17  4 62  0
 0  4      0 1599728  44040 1389480    0    0  4428  1321 6547 6227 19 20  3 58  0
 3  1      0 1588348  44040 1394080    0    0  4412  1158 6480 6040 15 18  4 63  0
 2  2      0 1578496  44040 1399164    0    0  4928   781 4634 4455 15 14  2 68  0
 0  2      0 1569888  44040 1403624    0    0  4332  1210 6532 5913 20 20  1 58  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 1563596  44040 1408704    0    0  4880   785 4389 4360 16 12  1 71  0
 0  3      0 1558564  44040 1413352    0    0  4588  1078 6322 5687 18 19  8 55  0
 1  3      0 1553444  44040 1418372    0    0  4776  1053 5124 5125 18 13  2 68  0
 1  3      0 1548112  44040 1423232    0    0  4700   994 5752 5393 19 16  3 62  0
 0  4      0 1543048  44040 1428004    0    0  4632  1013 5527 5423 18 16  2 64  0
 2  2      0 1538236  44040 1432412    0    0  4216  1406 6677 6348 21 19  3 55  1
 1  2      0 1533448  44048 1436776    0    0  4196  1301 7321 6420 21 20  3 56  0
 2  2      0 1529132  44048 1440960    0    0  3888  1714 7684 7103 22 21  5 52  0
 0  4      0 1524296  44048 1445676    0    0  4544  1029 5165 5210 15 15  2 68  0
 2  2      0 1519020  44048 1450380    0    0  4572   942 5792 5568 16 18  1 65  0
 2  2      0 1514412  44048 1454804    0    0  4208  1485 7624 6783 20 26  4 49  1
 0  4      0 1509648  44048 1459564    0    0  4520  1134 6334 5822 21 17  2 60  0
