procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 103656   8660 241180    0    0  4664  3727 8584 14703 19 12 12 57  0
 2  2      0 128500   8648 215752    0    0  4964  3478 8293 14099 19 13  9 58  0
 0  1      0 128028   8648 216348    0    0  4856  3618 8208 14694 22 11 10 57  0
 2  4      0 126736   8648 216856    0    0  4504  7527 6930 12418 20  7 18 54  1
 1  3      0 129036   8648 217656    0    0  4928  3661 7910 13834 16  7  5 72  0
 2  2      0 128752   8648 218392    0    0  4720  3702 9032 15322 24 10 13 54  0
 1  3      0 127744   8648 219476    0    0  4672  4182 8638 14567 24 11  7 58  0
 2  2      0 126736   8648 220548    0    0  4608  4176 8018 14199 25  9  9 57  0
 1  3      0 126736   8648 221496    0    0  4208  8216 7684 13186 22  9 16 53  1
 0  4      0 126232   8648 222256    0    0  4664  3992 8779 15287 18 10 11 61  0
 4  1      0 125508   8648 222856    0    0  3568  8150 7774 13865 18 11 15 56  0
 1  4      0 125068   8648 223640    0    0  5152  4384 8185 13952 22 11 11 57  0
 4  1      0 124248   8648 224280    0    0  4848  3860 7761 13548 19  8 11 62  0
 2  2      0 123948   8648 224936    0    0  3792  8338 7810 13558 20  8 25 45  2
 1  2      0 122484   8648 226220    0    0  4888  4893 7344 13476 21 10  9 59  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 121696   8648 226928    0    0  4104  8476 7828 13903 21 10 34 35  0
 1  3      0 120688   8648 227656    0    0  4632  4103 6725 12977 21  9 25 45  0
 0  4      0 118924   8648 228864    0    0  4656  4487 7523 12722 23 11 10 55  1
 2  1      0 118420   8648 229328    0    0  4616  7765 6501 11347 18  8 24 50  0
 0  1      0 117444   8648 230136    0    0  4320  4384 7348 13587 20 13 27 39  1
 0  2      0 116688   8648 230936    0    0  4760  3862 7174 13014 21 10  9 60  1
 1  3      0 115900   8648 231648    0    0  4424  3971 8414 15145 23 13 20 45  0
 1  3      0 115176   8648 232352    0    0  4512  4120 8204 14596 22 12 17 49  0
 0  3      0 114136   8648 233072    0    0  4832  6103 7722 13647 20 12 11 58  0
 0  2      0 113476   8648 233688    0    0  4320  6214 8189 14460 24  9  9 57  0
 1  3      0 112404   8648 234664    0    0  4456  4459 7798 13669 21 10  8 59  2
 5  2      0 111300   8648 235348    0    0  4536  4214 7389 13129 18 10  9 63  0
 2  3      0 110388   8648 236328    0    0  4200  4711 8576 15202 22 11 19 47  0
 1  2      0 109664   8648 237000    0    0  4336  4310 7913 14261 23 12 17 49  0
 0  2      0 109096   8648 237512    0    0  4152  8187 7043 12729 19 11 12 58  0
