procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  4      0 117020  14968 2514636    0    0  6976  7842 3824 6114  6  9 10 74  0
 1  3      0 108256  14968 2512636    0    0  9904  5981 5073 7896  9 10  7 74  0
 2  3      0 118216  14964 2490956    0    0 10208  5836 4732 7400  9 11  3 77  0
 3  3      0 110152  14964 2489700    0    0  9584  5529 4869 7577  8  9  7 74  1
 0  1      0 103852  14964 2487580    0    0  8512  9594 4352 6999  7 13 16 64  0
 0  4      0 115068  14960 2470400    0    0  6848  9810 4644 6766  6 14 12 69  0
 0  3      0 106228  14960 2470456    0    0  8384  5795 5047 7609  8 11  7 74  1
 1  2      0 114396  14956 2453876    0    0  6384  9600 3800 5965  7 10 15 67  0
 3  3      0 108096  14956 2453904    0    0  6960  9496 3670 5995  6  8  6 78  3
 0  4      0 117808  14952 2437452    0    0  7056  8683 7332 11775  7 10  7 76  0
 0  4      0 112548  14952 2437440    0    0  4608 11384 3147 5022  6  8  9 76  1
 1  3      0 104988  14952 2436100    0    0  8544  6823 4811 7415  7 12  4 76  0
 1  2      0 113752  14852 2416740    0    0  9744  5666 4321 6998  6 11 13 69  0
 1  4      0 116468  14820 2397984    0    0 14720  1267 3633 5605  9  9  2 80  0
 0  3      0 107648  14820 2396664    0    0 10256  5768 4513 7204  8 13  2 76  2
 1  3      0 117372  14820 2375072    0    0 11824  4349 3558 5651  5  8  2 85  1
 2  2      0 106716  14820 2374868    0    0  9904  3391 6419 9678 10 17  8 65  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 112668  14812 2359152    0    0  8992  6236 6097 9241 10 16  7 67  0
 3  2      0 117776  14808 2343436    0    0  9744  2044 6169 9454 10 13  5 71  1
 1  3      0 107248  14808 2343320    0    0 10464  1883 5596 8655 10 17  1 71  2
 1  4      0 111536  14800 2328004    0    0  9872  2224 6425 9518 10 16  4 71  0
 2  4      0 115888  14788 2312740    0    0 10480  1943 5933 8662  4 10  2 84  0
 1  4      0 104548  14788 2312852    0    0 10480  2054 5872 9083  7 16  4 72  1
 2  3      0 126260  14772 2282064    0    0  9776  2113 6253 9404 11 14  9 66  0
 0  4      0 115456  14772 2282136    0    0 10208  2033 5977 8912  6 14  9 71  1
 0  3      0 104336  14772 2282352    0    0 10240  5935 5532 8212  9 11  3 77  0
 1  3      0 124984  14636 2251840    0    0  9840  2137 6538 9302 10 13  9 67  1
 1  3      0 113456  14636 2251960    0    0 10640  1923 5654 8478  9 10  6 75  0
 0  3      0 117020  14560 2235408    0    0 11184  1810 5363 8448 10 11  2 77  1
 0  4      0 108024  14560 2234796    0    0  9984  2043 6462 9408 11 10  6 73  1
 0  3      0 112744  14508 2219708    0    0  9536  2296 6623 9925 11 12  3 74  0
 0  4      0 103704  14508 2219596    0    0  9472  2190 6762 9723  6  9  9 75  1
 1  4      0 109032  14508 2202568    0    0 10144  2377 5892 8965 13 12  4 72  0
 2  3      0 106020  14508 2193092    0    0 11664  1893 4842 7635  8  9  8 75  0
 0  3      0 128148  14504 2161880    0    0  9232  6214 5911 8261  9 12  5 74  0
 2  4      0 120296  14504 2158888    0    0 10320  2340 6337 9200 12 13 14 59  1
 0  4      0 109712  14504 2158968    0    0 10000  2232 6214 9229 11 17 15 57  0
 5  0      0 128080  14504 2129992    0    0  9504  2459 6420 9915 14 17  4 65  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  2      0 118836  14504 2130200    0    0 10128  2438 6366 8971 10 16 29 45  0
 1  4      0 108040  14504 2130316    0    0 10576  2112 6003 8604  9 11  7 73  0
 2  3      0 124072  14504 2102084    0    0 10768  2235 5543 8443 10 15  3 72  1
 1  3      0 113992  14504 2101660    0    0  9984  2354 6587 9618 12 18  8 62  0
 0  3      0 103408  14504 2101508    0    0 10208  2328 5507 8786  9 14 11 65  1
 1  3      0 120600  14504 2073360    0    0 10304  2276 6338 8821 10 15 18 56  0
 0  4      0 111056  14504 2072864    0    0  9680  2403 6603 9344  8 11  3 79  0
 0  4      0 128200  14492 2045196    0    0 10048  2231 6157 8797 10 14 21 54  2
 4  1      0 118080  14492 2045340    0    0  9360  2539 6727 9580 14 20  5 61  0
 4  3      0 107780  14492 2045000    0    0  9728  2458 6436 9352 11 17  9 63  1
 1  3      0 123728  14488 2018140    0    0 10160  2291 5857 8857 10 15  1 74  0
 0  5      0 115916  14488 2018284    0    0  8720  6117 5239 7853  8 15  2 76  0
 1  3      0 105112  14488 2018220    0    0 10608  2447 6438 9877 12 18  2 68  0
 0  4      0 120768  14480 1990972    0    0 10736  2023 5387 8473  7  9  5 78  0
 0  3      0 111916  14480 1990020    0    0  9536  2420 5947 9349 10 15 24 51  1
 0  5      0 126872  14464 1961668    0    0 10656  2119 6342 9304 11 13  8 68  0
 0  3      0 118272  14464 1961676    0    0  9216  6501 6077 8814  9 15 14 61  0
 2  2      0 108232  14464 1961652    0    0  9808  2261 5629 9136 10 12 18 60  0
 5  2      0 124172  14448 1935596    0    0 10368  2203 5375 8681  9 14  3 73  1
 1  4      0 114092  14448 1935796    0    0  9216  2748 7092 10040 14 16  8 60  2
 4  3      0 105556  14448 1933388    0    0 10448  2219 5869 8812 10 12 16 62  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  4      0 121480  14440 1907044    0    0 10064  2316 6326 9223 11 11  6 72  0
 0  5      0 111652  14440 1906868    0    0  9776  2308 6339 9491  8 16  1 75  0
 1  3      0 125316  14432 1881504    0    0 10592  2129 5738 8989  9 13  4 74  0
 0  4      0 116496  14432 1879040    0    0 11248  1988 5246 8174 10 10  1 78  1
 0  5      0 104400  14432 1879256    0    0 11648  1914 4746 7565  6 10  1 82  0
 2  2      0 119220  14424 1853192    0    0  9984  6260 4880 7978  7 14  9 70  0
 1  4      0 110644  14424 1851076    0    0  9968  2356 6319 9423  9 16  7 67  1
 1  4      0 125924  14396 1823892    0    0 10960  2001 5442 8268  6 14 16 63  0
 1  3      0 118144  14396 1821572    0    0 11488  1864 5147 7780 10 10  1 78  2
 2  3      0 107560  14396 1821428    0    0 10176  2225 5893 9234 12 13  5 70  1
 1  4      0 120680  14368 1797584    0    0 10896  1988 5340 8524  7  8  1 85  0
 2  3      0 109340  14368 1797624    0    0 10608  2091 5389 8543 11 13  5 72  0
 1  4      0 122128  14348 1774340    0    0 10144  2248 5927 9279 12 13  7 68  0
 1  3      0 111788  14348 1774564    0    0  9376  2695 6567 9760 13 14  3 70  1
 0  4      0 123372  14328 1751784    0    0  9724  2656 6240 9792 11 16  8 65  1
 1  4      0 114144  14328 1751724    0    0  9840  2577 6102 9540 10 16 17 57  0
 1  3      0 104032  14328 1751428    0    0  9648  2502 6446 9350  9 15  8 68  1
 0  3      0 118372  14308 1727444    0    0  9708  2584 5802 9398 11 17 12 60  1
 1  3      0 108764  14308 1727092    0    0  9184  2695 6887 9988 11 19  7 63  0
 1  4      0 120024  14296 1705064    0    0 10128  2490 5971 9112  9 15  3 73  1
 3  2      0 109220  14296 1705172    0    0 10640  2301 5409 8499 10 13  3 74  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  4      0 119228  14268 1683660    0    0 10240  2344 5177 8597  8 14  4 73  0
 0  5      0 110440  14268 1683356    0    0  9440  2538 6750 10102  8 11  2 78  0
 1  3      0 121228  14244 1662012    0    0  9200  2673 5809 9563 11 15  5 68  1
 1  5      0 111904  14244 1662300    0    0  9456  2623 6295 9658 11 13  4 72  1
 4  3      0 120792  14228 1641688    0    0 10208  2382 5628 8683 10 11  2 72  5
 0  4      0 116004  14228 1641924    0    0  5776 10233 4043 6125  8 10  9 73  0
 2  2      0 104948  14228 1642132    0    0 10176  2835 6503 10145 10 16 13 61  0
 1  3      0 113176  14220 1621552    0    0 12272  1873 4076 6742  8  9  2 80  1
 2  4      0 104136  14220 1621568    0    0  8544  6231 4845 7666  5  6  2 85  2
 2  4      0 114380  14216 1600812    0    0 10320  2865 6962 10355 11 16  6 67  0
 2  2      0 104300  14216 1600620    0    0  9408  2698 5951 9677 10 13  6 71  0
 4  1      0 114860  14204 1580892    0    0  8960  2900 6566 10108 12 19  6 63  0
 1  4      0 105000  14204 1580916    0    0  9040  2716 6476 10188 13 19  7 61  1
 0  4      0 112960  14188 1561124    0    0 11072  2164 5037 8236 10 13  2 75  1
 0  4      0 121156  14172 1541008    0    0  9744  2592 5897 9462 12 16  3 68  1
 0  4      0 111896  14172 1541312    0    0  9824  2595 6214 9403 12 15  7 65  0
 1  3      0 119620  14164 1521592    0    0 10720  2295 5265 8312  8 14  3 74  1
 0  4      0 109760  14164 1521840    0    0  9216  2849 6989 10265 14 18  3 64  1
 2  3      0 120192  14156 1502208    0    0  8544  6526 5690 8714 12 13  4 72  1
 1  3      0 110144  14156 1502312    0    0 11072  2514 5655 8656  7 16  3 74  1
 0  4      0 117340  14148 1483456    0    0 11408  2039 5161 8004  9 14  1 77  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 106504  14148 1483672    0    0 10160  2404 6334 9110 12 15  1 72  0
 0  4      0 115952  14132 1462356    0    0 11808  2003 4625 7325  9 11  5 76  1
 1  3      0 105084  14132 1462572    0    0 10416  2427 5892 8666 11 12  1 76  0
 1  4      0 113020  14116 1443564    0    0  9888  2559 5959 9134 11 16  3 69  1
 0  4      0 119744  14104 1425184    0    0  9472  2664 7149 9832  6 13 12 69  1
 1  3      0 112152  14104 1424984    0    0  9072  2704 7116 10109 11 17 15 57  0
 1  4      0 118648  14092 1407584    0    0  9760  2501 6528 9304 13 17  6 64  1
 4  4      0 108852  14092 1407888    0    0  9616  2603 6748 9648 10 19  2 68  0
 0  3      0 116376  14088 1390196    0    0  9056  2797 6770 10261 16 16  3 65  0
 0  4      0 105792  14088 1390108    0    0  9936  2472 6167 9059  9 13 19 58  1
 1  4      0 116792  14084 1369964    0    0  9840  2550 5917 9331 12 14  2 72  0
 1  3      0 106492  14084 1370028    0    0  9312  2718 6654 9984 13 17 14 56  0
 1  4      0 112600  14068 1353180    0    0 10320  2443 6057 9366  5  9  7 80  0
 0  4      0 118488  14048 1336200    0    0  9920  2501 6308 9211 13 16  2 70  0
 1  3      0 109164  14048 1336464    0    0  9760  2552 6002 8964 12 17  2 67  1
 0  5      0 114248  14020 1320112    0    0  9920  2471 6049 9084 11 16  6 67  0
 1  5      0 106468  14020 1319940    0    0  8272  6360 5378 8278 10 11 12 66  1
 1  2      0 128448  13964 1287724    0    0 10224  2971 6327 9995 13 16  1 70  0
 2  3      0 118400  13964 1287500    0    0  9264  2870 7506 10624 12 18  4 66  0
