procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 130260  15372 3441616    0    0    37    82   10    0  1  1 98  1  0
 1  3      0 111140  15404 3447120    0    0  5576  1322 7600 6971 30 24  3 43  0
 2  2      0 104084  15404 3429340    0    0  4372  1409 7293 6601 24 26  2 49  0
 2  2      0 103840  15300 3400940    0    0  4744  1122 5871 5406 23 18  4 55  0
 1  3      0 106628  15296 3383564    0    0  4720  1257 7244 6639 24 24  4 49  0
 0  4      0 118096  15284 3344924    0    0  4980  1210 6297 5732 17 20  2 59  2
 3  1      0 105844  15284 3327356    0    0  3988  1645 8270 7246 27 28  4 40  1
 4  0      0 111044  15284 3300636    0    0  4996   942 5597 5031 19 22 12 48  0
 0  2      0 105248  15284 3283772    0    0  4344  1249 7264 6493 21 26  3 50  0
 2  2      0 112832  15252 3242832    0    0  4592  1298 6282 6047 24 22  5 48  0
 3  1      0 108516  15252 3225064    0    0  4568  1329 6149 5916 24 22  3 52  0
 2  3      0 119588  15252 3184920    0    0  4648  1082 5538 5302 17 16  3 63  1
 1  3      0 110792  15240 3167144    0    0  4112  1481 7886 7091 24 21  4 50  1
 1  3      0 122368  15148 3127836    0    0  4632  1046 5172 5278 14 12  1 74  0
 1  3      0 115564  14852 3110040    0    0  3628  1901 10321 8313 28 32  4 35  0
 2  2      0 120636  14052 3072092    0    0  4292  1754 9080 7681 29 31  4 37  0
 1  3      0 116572  13660 3055568    0    0  4328  1597 7914 6884 25 28  2 45  0
 0  4      0 105232  13336 3039308    0    0  4660   994 4589 4585 17 17  5 61  0
 1  3      0 120352  12548 3002768    0    0  4852   665 4608 4375 16 17  0 66  0
 3  1      0 117704  12432 2986104    0    0  4120  1482 7859 6915 27 23  5 45  1
 2  2      0 107508  12432 2969188    0    0  3728  1893 9261 8076 26 31  4 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 121560  12432 2932160    0    0  4208  1714 8732 7429 27 29  5 39  0
 1  2      0 104296  12432 2936736    0    0  4348  1109 5817 5614 22 21  1 55  0
 3  1      0 105240  12428 2920444    0    0  4136  1518 7991 7054 24 26  5 45  0
 1  2      0 113620  12232 2904268    0    0  3992  1637 7701 6959 21 27  4 48  0
 0  4      0 120108  12232 2887968    0    0  3908  1702 8234 7176 24 29  7 40  0
 4  0      0 113556  12232 2892396    0    0  4212  1317 6686 6179 25 21  3 51  1
 2  2      0 108508  12232 2896144    0    0  3600  1950 9983 8426 31 30  5 33  0
 4  0      0 104224  12232 2900120    0    0  3616  2075 9417 8323 28 31  5 36  1
 0  4      0 119596  12100 2884276    0    0  4132  1650 8138 7176 24 24  3 46  3
 1  2      0 115912  12100 2888820    0    0  4324  1381 7198 6550 18 22  3 56  1
 3  0      0 111848  12100 2892588    0    0  3584  2110 8803 7604 26 29  6 38  1
 0  4      0 107500  12100 2896424    0    0  3500  2073 9796 8405 27 32  5 37  0
 2  2      0 120864  11964 2880220    0    0  3596  1998 9906 8445 29 32  4 35  0
 1  2      0 117336  11964 2884848    0    0  4448  1105 5900 5655 19 20  1 60  0
 2  1      0 113588  11964 2889068    0    0  3964  1498 7103 6791 24 21  4 51  0
