procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  4      0 989300   3984 2617456    0    0    39   100    5    2  1  1 97  1  0
 0  4      0 972368   3984 2626844    0    0  9244  6760 2464 2175 24  7  4 65  0
 0  5      0 948576   3984 2635508    0    0  8504  7904 3954 3200 29 12  2 57  0
 1  2      0 931912   3984 2644192    0    0  8524  7037 3947 3012 30 16  2 51  2
 1  4      0 914028   3984 2652916    0    0  8480  7945 5751 4976 32 22  2 44  1
 2  2      0 889772   3992 2661912    0    0  8868  7284 4950 3846 29 19  2 51  0
 5  0      0 869988   3992 2670388    0    0  8280  7265 5251 4139 30 20  3 47  0
 2  2      0 848040   3992 2679256    0    0  8728  7707 3377 2612 26 14  4 57  0
 0  4      0 818768   3992 2688376    0    0  8996  6966 4163 3233 31 19  5 43  2
 4  0      0 793544   3992 2696404    0    0  7888  7831 4162 3102 30 15  3 53  0
 1  4      0 767712   3992 2703072    0    0  6388  8194 7603 6278 39 27  4 30  0
 1  2      0 743424   3992 2707236    0    0  3828  9804 7471 6740 43 20  9 27  1
 3  2      0 715908   3992 2712400    0    0  4968  9408 5844 5543 38 18  9 34  0
 2  4      0 693732   3992 2721176    0    0  8712  6696 3132 3024 27 12  1 59  2
 4  1      0 670208   3992 2725048    0    0  3624 10064 6760 6370 42 24  2 31  1
 0  3      0 642440   3992 2728796    0    0  3420  9039 8288 7252 44 25  6 25  0
 1  3      0 613112   3992 2732872    0    0  3856  9686 6721 6132 39 26  4 31  0
 1  3      0 580580   3992 2737008    0    0  3896  9537 7638 6866 43 24  6 27  1
 1  2      0 555308   3992 2742196    0    0  5016  8358 5202 5340 39 15 12 35  0
 1  3      0 522532   3992 2745768    0    0  3400  8989 8059 7344 47 25  2 23  3
 4  1      0 499080   3992 2749820    0    0  3768  9665 6689 6582 39 21  5 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 474508   3992 2753516    0    0  3468 10010 8327 7283 43 24  8 25  0
 1  4      0 438928   3992 2757428    0    0  3700  9817 7042 6768 43 22  4 31  0
 1  3      0 409940   3992 2762684    0    0  5004  8731 6329 5911 37 22  4 38  1
 1  2      0 390488   3992 2770372    0    0  7576  8708 7168 6317 38 22  3 38  0
 0  4      0 361972   3992 2777632    0    0  6964  8497 6199 5775 37 24  3 34  2
 0  2      0 332928   3992 2785956    0    0  8196  8976 4652 4205 38 14  1 47  0
 4  0      0 298932   3992 2793600    0    0  7476  7787 6532 5754 35 21  3 41  1
 0  2      0 282456   3992 2801860    0    0  8088  8196 4837 3763 32 15  2 50  0
 2  2      0 260272   3992 2812148    0    0 10220  5954 3198 2755 23 13  1 63  0
 0  4      0 239592   3992 2821860    0    0  9628  6181 2392 2070 22  8  1 69  1
 1  4      0 220164   3992 2831252    0    0  9324  6922 3483 2923 27 10  3 61  0
 1  2      0 196428   3992 2838296    0    0  6816  7929 7562 5611 35 24  6 35  0
 0  5      0 177552   3992 2846576    0    0  8240  8198 4538 4273 33 16  3 49  1
 2  3      0 157620   3992 2855512    0    0  8708  7389 5598 4803 34 19  1 47  0
 0  5      0 504116   3992 2506392    0    0  9476  7235 3405 3039 25 18  3 52  3
 2  2      0 493816   3992 2514492    0    0  7784  7471 4916 3874 28 17  4 52  0
 1  4      0 481388   3992 2523672    0    0  9012  7080 4164 3454 31 15  8 46  0
 2  3      0 469552   3992 2532888    0    0  9112  6922 3958 3330 29 11  4 56  0
 0  5      0 458676   3992 2542232    0    0  9300  7617 2478 2284 24  9  1 66  0
 2  2      0 445776   3992 2551268    0    0  8844  6260 4484 3908 29 18  3 50  1
 1  3      0 438872   3992 2559424    0    0  8080  7770 3196 2701 26 13  9 52  0
