procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 3307264  17824 333896    0    0    55   185   19   32  1  1 97  1  0
 1  3      0 3275296  17824 348448    0    0 14316   625 4134 3368 14 18  1 67  1
 1  3      0 3244352  17824 357380    0    0  8660   854 5447 5019 19 23  1 57  0
 1  3      0 3219520  17824 363256    0    0  5596   625 4252 4289 18 17  0 65  1
 2  2      0 3209180  17832 369212    0    0  5724  1318 5902 5131 20 20 13 47  0
 2  2      0 3185672  17832 374748    0    0  5304   693 4509 4371 17 17  1 65  0
 1  3      0 3164604  17832 379648    0    0  4656  1070 6055 5780 16 22  3 59  0
 2  2      0 3143032  17832 384804    0    0  4864  1077 6581 5788 22 20  2 56  0
 2  2      0 3119964  17832 390256    0    0  5152   854 5346 5054 20 18  1 61  1
 2  2      0 3098092  17832 395440    0    0  4908  1109 6457 5670 23 22  2 52  1
 2  1      0 3075276  17840 400596    0    0  4944   962 4980 4800 20 16  1 63  0
 0  4      0 3051052  17840 406192    0    0  5284   649 3752 4060 15 14  1 70  0
 1  2      0 3029236  17840 411412    0    0  5076  1078 6391 5827 23 22  2 54  1
 0  4      0 3005232  17840 416916    0    0  5220   665 4302 4133 18 14  1 68  0
 2  1      0 2981944  17840 422016    0    0  4988   766 5774 4787 18 16 25 42  0
 1  3      0 2959648  17840 427400    0    0  5056   866 5444 5248 18 21  2 59  1
 2  2      0 2939352  17840 432136    0    0  4552  1226 6105 5676 25 18  3 54  0
 0  3      0 2917568  17840 437504    0    0  5060  1053 6073 5695 20 20  2 58  0
 1  3      0 2899816  17840 442188    0    0  4420  1306 6926 6439 24 21  2 53  0
 0  4      0 2879040  17840 447308    0    0  4820  1265 6520 6037 23 22  3 52  1
 1  3      0 2856580  17840 452388    0    0  4836   998 5346 5129 19 19  1 61  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2      0 2832040  17840 457860    0    0  5292   617 4378 4386 18 15  1 65  1
 0  4      0 2809052  17840 463100    0    0  5100   758 4579 4555 18 16  2 64  0
 1  3      0 2784868  17840 468188    0    0  5000   605 3751 3909 16 13  1 70  0
 2  2      0 2763336  17840 472788    0    0  4440  1070 7058 6124 22 25  3 51  0
 0  3      0 2739348  17840 477992    0    0  4972   757 4385 4526 18 16  4 62  1
 1  3      0 2716612  17840 482736    0    0  4604   966 5864 5399 20 19  2 59  0
 2  2      0 2694436  17840 487780    0    0  4876   913 5157 4829 18 15 22 46  0
 1  3      0 2675416  17840 492728    0    0  4840  1254 7624 6520 25 25  5 45  0
 0  4      0 2653948  17840 497824    0    0  4768   985 5103 4958 14 13  2 72  0
 1  3      0 2631512  17840 502960    0    0  4972   714 4790 4663 16 17  1 66  0
 2  2      0 2611556  17840 507952    0    0  4820  1197 6699 6233 24 23  3 51  0
 1  3      0 2590040  17840 513048    0    0  4896   854 4825 4723 21 14  2 63  0
 0  4      0 2569076  17840 518036    0    0  4860   877 5207 5191 19 20  4 57  0
 1  3      0 2548616  17840 523344    0    0  5104   710 4468 4505 18 15  3 63  1
 0  2      0 2528668  17840 528520    0    0  5048   673 4765 4528 22 13  2 63  0
 2  1      0 2511728  17840 533564    0    0  4908   854 5670 5441 21 18  2 59  0
 2  2      0 2498316  17840 538356    0    0  4568  1185 6459 5931 22 22  4 52  0
 1  3      0 2486716  17840 543156    0    0  4608  1154 6135 5857 19 22  2 58  0
 0  4      0 2477060  17840 547832    0    0  4444  1161 5850 5516 15 16  3 66  1
 1  3      0 2468972  17840 552652    0    0  4668  1054 5777 5446 21 16  2 62  0
 1  3      0 2462192  17840 557500    0    0  4716  1081 6509 5954 23 21  3 53  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 2456836  17840 562672    0    0  4920  1126 5534 5406 20 18  5 57  0
 2  2      0 2451252  17840 567588    0    0  4752   861 5657 5115 24 20  1 55  0
 1  3      0 2446652  17840 572076    0    0  4304  1174 6741 5951 21 23  2 54  0
 0  4      0 2441596  17840 576408    0    0  4132  1571 7978 6957 23 29  4 43  1
 0  4      0 2436776  17840 580980    0    0  4320  1266 6030 5920 14 16  3 66  0
 2  2      0 2432216  17840 585728    0    0  4580  1185 6293 5913 18 18  2 62  0
 1  3      0 2427404  17840 590004    0    0  4116  1398 7224 6707 22 21  5 53  0
 1  3      0 2422340  17840 594840    0    0  4604  1101 7071 6196 25 23  2 50  0
 0  4      0 2417756  17840 599200    0    0  4144  1426 6788 6213 24 19  2 55  1
 2  1      0 2412716  17840 604084    0    0  4672  1173 6808 6246 21 25  3 52  0
 0  3      0 2407620  17840 608676    0    0  4384  1266 6177 5827 21 20  3 57  0
 2  2      0 2402304  17840 613672    0    0  4816  1005 5486 5365 20 20  2 57  0
 2  1      0 2397492  17840 618456    0    0  4644   906 5265 4852 21 17  1 60  0
 1  3      0 2392176  17840 623196    0    0  4584  1021 6426 5690 23 20  2 54  1
 0  4      0 2387160  17840 628044    0    0  4760   834 5160 5075 21 17  2 60  0
 4  0      0 2382104  17840 633076    0    0  4820   741 4853 4579 19 18  2 62  0
 1  3      0 2377284  17840 637396    0    0  4176  1370 7839 6933 22 27  3 47  0
 2  3      0 2372400  17840 641844    0    0  4268  1674 7418 6721 25 22  3 51  0
 0  4      0 2367636  17840 646656    0    0  4532  1119 5029 4765 53 16  1 29  0
 1  3      0 2362668  17840 651272    0    0  4460  1209 7295 6183 25 22  8 45  0
 0  4      0 2357768  17840 655820    0    0  4356  1266 6723 6176 22 21  6 51  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 2352712  17840 660588    0    0  4580  1009 6085 5383 22 18  3 58  0
 2  2      0 2347916  17840 665132    0    0  4488  1106 6183 5713 20 22  3 54  1
 0  4      0 2342860  17840 670108    0    0  4700   973 5256 5093 15 23  2 60  0
 0  4      0 2336984  17840 675308    0    0  5012   826 5356 5140 20 18  1 61  0
 1  3      0 2332504  17840 680056    0    0  4660   985 5930 5442 21 20  3 57  0
 3  1      0 2327960  17840 684132    0    0  3932  1470 8319 7105 22 28  4 45  1
 1  2      0 2322684  17840 689052    0    0  4664   993 5140 4961 20 15  2 63  0
 2  2      0 2318392  17840 693280    0    0  4112  1350 7303 6513 24 23  3 49  0
 1  3      0 2313336  17840 697692    0    0  4196  1429 7535 6734 26 24  4 46  0
 0  3      0 2308856  17840 702160    0    0  4256  1230 7028 6324 27 23  2 49  0
 2  1      0 2303444  17840 707172    0    0  4808  1009 6032 5483 21 20  3 56  0
 0  4      0 2298428  17840 711892    0    0  4524  1222 6998 6246 24 21  4 51  0
 1  3      0 2293844  17840 716396    0    0  4300  1253 6093 5749 22 20  3 55  1
 2  1      0 2289340  17840 720588    0    0  4040  1404 7106 6623 23 24  4 49  0
 1  3      0 2284196  17840 725392    0    0  4700   945 5401 5291 21 20  2 57  0
