procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 1674356   7208 1898556    0    0    38    97    4    2  1  1 97  0  0
 2  2      0 1651304   7208 1904068    0    0  5276   626 3760 4037 17 11  5 67  0
 1  3      0 1631944   7208 1908948    0    0  4536  1236 5446 5665 21 19  3 57  0
 0  4      0 1607656   7208 1914188    0    0  5088   515 3781 4015 15 12  1 72  0
 2  2      0 1597088   7208 1918916    0    0  4532  1528 5260 5365 18 15  7 60  0
 2  2      0 1576224   7216 1923708    0    0  4612  1068 5216 5185 20 11 14 54  1
 3  2      0 1555652   7216 1928472    0    0  4400  1150 5557 5562 17 20  2 61  0
 0  2      0 1535420   7216 1933032    0    0  4312  1217 5650 5689 22 16  5 57  0
 1  3      0 1518864   7216 1937472    0    0  4148  1397 5682 6102 19 16  4 62  0
 0  4      0 1496040   7216 1942820    0    0  5088   790 4863 4808 19 14  1 67  0
 0  4      0 1475248   7216 1947476    0    0  4452  1119 4753 5184 20 16  7 58  0
 1  3      0 1457960   7216 1951756    0    0  3972  1529 6642 6480 24 18  4 54  1
 1  3      0 1435200   7216 1957020    0    0  5028   794 5354 4934 19 17  1 63  0
 1  3      0 1414684   7216 1961716    0    0  4500  1051 4537 4906 18 14  4 64  0
 2  1      0 1394412   7216 1966352    0    0  4360  1252 6371 6163 19 25  4 52  1
 1  3      0 1378196   7216 1970188    0    0  3572  1798 6990 7190 23 22  5 50  0
 0  4      0 1359420   7216 1974672    0    0  4200  1337 6330 6332 18 19  3 60  0
 1  3      0 1337164   7216 1979732    0    0  4892   850 4510 4762 11 16  3 70  0
 0  4      0 1317616   7216 1984340    0    0  4336  1314 5943 5928 24 17  3 56  0
 2  1      0 1294660   7216 1989244    0    0  4752   778 4242 4381 15 17  7 61  1
 0  4      0 1275160   7216 1993740    0    0  4304  1178 5799 5707 21 18  1 60  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2      0 1255684   7216 1998412    0    0  4408  1281 6657 6273 23 23  3 52  0
 2  2      0 1235176   7216 2003180    0    0  4564  1109 5662 5728 21 20  3 56  0
